label,year,journal,paper_type,relevance,paradigm,groups,doi,url,authors,topics,methods,workflows,chemistry,data_regime,validation,why,citations,citation_date
3D Deep Learning for Ru Ketone Hydrogenation Enantioselectivity,2026,JACS,research,core catalysis,3D / deep learning,Hartwig,10.1021/jacs.6c07313,https://doi.org/10.1021/jacs.6c07313,Evelyn Ramirez; Gunther H. Weber; Jan Gerit Brandenburg; John F. Hartwig; Joscha Hoche; Masha Elkin; Matthew Avaylon; Michael W. Mahoney; N. Ian Rinehart; Nicholas Hadler; Talita Perciano,3D molecular representation; Asymmetric catalysis; Deep learning; Enantioselectivity; HTE; Transition-state representation,3D graph neural network; High-throughput experimentation; Transition-state-informed representation,TS-informed 3D deep-learning workflow,Noyori-type Ru-catalyzed ketone hydrogenation,"Literature data plus >1,000 in-house HTE examples",Extrapolation to structures distinct from training,Major move toward learned 3D representations built on enantiodetermining TS geometry.,,2026-09-03
"50,688-Reaction C–N Coupling Dataset",2026,JACS,research,core catalysis,Autonomous / HTE,Other,10.1021/jacs.6c05959,https://doi.org/10.1021/jacs.6c05959,Jayabrata Das; Tim Cernak; Xueying Zhang,Benchmarking; Large experimental datasets; Mechanistic diversity; Negative controls; Transferability,Benchmark task design; Cross-metal overlap; Systematic HTE,,Pd/Ni/Cu C–N coupling,"50,688 reactions; 33 complexes; 166 ligands; 17 bases; 4 solvents; 3 temperatures",Dense cross-metal condition overlap and metal-free controls,Demonstrates that dataset architecture and controls can be more important than simply maximizing substrate diversity.,,2026-09-03
"BUNNY N,N-Bidentate Ligand Descriptor Library",2026,ACS Catalysis,research,core catalysis,Transfer / few-shot,Sigman; Doyle,10.1021/acscatal.6c02585,https://doi.org/10.1021/acscatal.6c02585,Abigail G. Doyle; Jules Schleinitz; Matthew S. Sigman; Neyci E. Gutiérrez-Valencia; Therese H. Wild,Cross-scaffold modeling; Ligand descriptor libraries; Mechanistic interpretation; Transfer learning,DFT descriptor library; Diversity selection; Statistical modeling,Reusable ligand-space workflow,"Ni cross-electrophile coupling; N,N-bidentate ligands","~1,100 ligands; 31-ligand representative screen",Two Ni-CEC case studies; cross-ligand-family modeling,"Extends reusable ligand-space ideas beyond phosphines to N,N-bidentate ligands.",,2026-09-03
Boosting Computational Catalysis and Reactivity with AI,2026,JACS,perspective,overview,MLIP / TS acceleration,Corminboeuf; Schwaller,10.1021/jacs.5c17786,https://doi.org/10.1021/jacs.5c17786,Clemence Corminboeuf; Kjell Jorner; Philippe Schwaller,Computational catalysis; Generative AI; LLMs; MLIPs; Reaction discovery,Perspective,,Computational catalysis and chemical reactivity,Perspective,N/A,"Connects ML potentials, generative models, LLMs, mechanism, and automation in one roadmap.",,2026-09-03
Cost-Effective QM Workflows for Molecular ML,2026,ACS Catalysis,research,core catalysis,Other / mixed,Sigman,10.1021/acscatal.6c02583,https://doi.org/10.1021/acscatal.6c02583,David Dalmau; Juan V. Alegre-Requena; Matthew S. Sigman,Automated featurization; Cheap QM; Descriptor pipelines; Small data,Automated ML workflow; MORFEUS; RDKit; xTB,,General molecular ML / catalysis examples,Low-cost descriptor generation across molecular datasets,Benchmarks against higher-cost QM descriptor workflows,Turns physical descriptor generation into reusable software infrastructure.,,2026-09-03
Flex-Cat Autonomous Homogeneous Catalysis,2026,Nature Communications,research,core catalysis,Autonomous / HTE,Abolhasani,10.1038/s41467-026-74425-x,https://doi.org/10.1038/s41467-026-74425-x,Alexander J. M. Miller; Milad Abolhasani,Autonomous experimentation; Bayesian optimization; HTE; Hydroformylation; Ligand optimization,GC-FID feedback; Gaussian-process surrogate; Hierarchical Bayesian optimization; Robotic experimentation,Autonomous HTE optimization workflow,Rh-catalyzed hydroformylation,680 experiments; 16 phosphorus ligands; mixed discrete/continuous search,Closed-loop optimization of activity and regioselectivity,Current benchmark for physically closed-loop homogeneous catalyst optimization.,,2026-09-03
Foundation MLIPs and DFT in Homogeneous Catalysis,2026,Chemistry - A European Journal,perspective,overview,Bayesian / active learning,Other,10.1002/chem.71022,https://doi.org/10.1002/chem.71022,Julen Munarriz; Maxime Ferrer; Ruben Laplaza; Thijs Stuyver,DFT; Foundation MLIPs; Homogeneous catalysis; Transition states; Uncertainty,Perspective,,Homogeneous catalysis and mechanistic computation,Perspective,N/A,Frames the emerging division of labor between fast foundation potentials and high-accuracy electronic structure.,,2026-09-03
Inverse Design of FLPs for CO2 Hydrogenation,2026,Chemical Science,research,core catalysis,Inverse / generative,Corminboeuf,10.1039/D5SC09530A,https://doi.org/10.1039/D5SC09530A,Clemence Corminboeuf; Ruben Laplaza; Shubhajit Das; Thanapat Worakul,CO2 hydrogenation; Design rules; Inverse catalyst design; Metal-free catalysis; Virtual chemical space,Genetic algorithm; Surrogate models; Synthetic-complexity constraints,,Frustrated Lewis pair catalysis for direct CO2 hydrogenation,Virtual space on the order of 10^9 FLP candidates,Mechanistic design rules plus constrained optimization,A strong example of inverse catalyst design over a huge chemically defined space.,,2026-09-03
Libra-ML for Rh Hydroformylation Regioselectivity,2026,JACS,research,core catalysis,3D / deep learning,Hartwig,10.1021/jacs.6c11602,https://doi.org/10.1021/jacs.6c11602,Golsa Gheibi; Gunther H. Weber; Jeremy Nicolai; Jiaqing Chen; John F. Hartwig; Masha Elkin; Matthew Avaylon; Michael W. Mahoney; N. Ian Rinehart; Nicholas Hadler; Ross Maciejewski; Talita Perciano,3D molecular representation; Deep learning; Hydroformylation; Regioselectivity; Transition-metal catalysis,3D deep learning; Catalyst-structure representation; Libra-ML,TS-informed 3D deep-learning workflow,Rh-catalyzed hydroformylation of terminal olefins,Experimental catalyst/substrate outcomes with 3D catalyst representations,Comparison with existing representations and out-of-sample outcomes,Shows 3D learned representations can model a multistep homogeneous catalytic cycle.,,2026-09-03
ML for Catalytic Asymmetric Reactions of Simple Alkenes,2026,Digital Discovery,research,core catalysis,Other / mixed,Sunoj,10.1039/D5DD00483G,https://doi.org/10.1039/D5DD00483G,Ajnabiul Hoque; Divya Chenna; Nupur Jain; Raghavan B. Sunoj,Asymmetric catalysis; Enantioselectivity; Imbalanced data; Representation comparison; Small data,Cost-sensitive learning; Fingerprints; Graph representations; SMILES models,Direct GNN reaction workflow,Catalytic asymmetric reactions of simple alkenes,Sparse and imbalanced literature reaction datasets,Representation/model comparisons across asymmetric reaction sets,Useful comparison of learned and predefined representations under realistic data imbalance.,,2026-09-03
ML in Homogeneous Catalysis: Basic Concepts and Best Practices,2026,ACS Catalysis,viewpoint,overview,Other / mixed,Other,10.1021/acscatal.5c06439,https://doi.org/10.1021/acscatal.5c06439,David Dalmau; Juan V. Alegre-Requena; Susana Garcia-Abellan,Best practices; Homogeneous catalysis; Model validation; Small data,Viewpoint / methodology guidance,,Homogeneous catalysis,Methodological overview,N/A,Practical reference for building and evaluating catalysis ML models.,,2026-09-03
ML-Assisted Ligand Optimization in Shearilicine Synthesis,2026,JACS,research,core catalysis,Ligand-space / screening,Other,10.1021/jacs.5c21637,https://doi.org/10.1021/jacs.5c21637,Fu-Qiang Ni; Z. Wang,Asymmetric catalysis; Ligand optimization; Synthetic application; Virtual screening,Support vector regression; Virtual ligand screening,,Enantioselective Pd-catalyzed alpha-arylation in total synthesis,>120 BI-DIME-type ligands virtually screened,New ligands improved a difficult asymmetric arylation,Illustrates ML ligand optimization inside a demanding total-synthesis problem.,,2026-09-03
Predictive Statistical Analysis of Au(I) C-H Functionalization Selectivity,2026,ACS Catalysis,research,core catalysis,Physical / interpretable,Sigman,10.1021/acscatal.6c03184,https://doi.org/10.1021/acscatal.6c03184,Matthew S. Sigman; Omar Arto; Pablo Barrio; Shounak Hinge; Simone Gallarati,C-H functionalization; Conformational effects; Diastereoselectivity; Interpretable ML; Regioselectivity,Multivariate regression; Steric descriptors; Univariate regression,,Au(I)-catalyzed cycloisomerization of 1-bromoalkynes,Curated substrate set with conformational/steric features,OOD substrates including a complex target,Modern example of interpretable statistical modeling applied directly to catalyst-controlled selectivity.,,2026-09-03
Transferable Enantioselectivity Models from Sparse Data,2026,Nature,research,core catalysis,Transfer / few-shot,Sigman; Doyle,10.1038/s41586-026-10239-7,https://doi.org/10.1038/s41586-026-10239-7,Abigail G. Doyle; Erin M. Bucci; Matthew S. Sigman; Simone Gallarati,Conformer ensembles; Enantioselectivity; Mechanism-aware descriptors; Small data; Transfer learning,Boltzmann averaging; Statistical modeling; TS/intermediate ensembles; xTB,Mechanism-aware transfer workflow,Ni-catalyzed asymmetric C(sp3) couplings,Sparse catalytic datasets across related reactions,Unseen ligands and reaction partners; optimization of weak scope examples,Makes the representation reaction-contextual by encoding proposed catalytic states rather than only free ligands.,3,2026-09-03
AI Approaches to Homogeneous Catalysis with Transition Metal Complexes,2025,ACS Catalysis,review,overview,Inverse / generative,Other,10.1021/acscatal.5c01202,https://doi.org/10.1021/acscatal.5c01202,Aida Nova; Carlos Moran-Gonzalez; Jonathan Burnage; Vladimir Balcells,AI roadmap; Automation; Catalyst design; Generative models; Homogeneous catalysis,Review / perspective,,Transition-metal homogeneous catalysis,Perspective across computational and experimental literature,N/A,"Field-level map of datasets, representations, algorithms, catalyst optimization, and inverse design.",,2026-09-03
Active Learning + Metadynamics for Reactive MLIPs,2025,Digital Discovery,research,core catalysis,Bayesian / active learning,Other,10.1039/D5DD00261C,https://doi.org/10.1039/D5DD00261C,Fernanda Duarte; Hanwen Zhang; Tristan Johnston-Wood; Valdas Vitartas; Veronika Jurásková,Active learning; Enhanced sampling; Reaction dynamics; Reactive MLIPs,Iterative QM labeling; Machine-learned interatomic potentials; Metadynamics,Reactive MLIP mechanism workflow,Reactive molecular systems; explicit/implicit solvent examples,Typically 5–10 initial configurations then active learning,Reactive PES / competing pathways,Automates generation of reaction-quality ML potentials with minimal initial data.,9,2026-09-03
Bayesian Optimization for Resource-Efficient Hydroformylation,2025,ACS Catalysis,research,core catalysis,Autonomous / HTE,Other,10.1021/acscatal.5c06595,https://doi.org/10.1021/acscatal.5c06595,Anna Xiao Tan; Clelia Fantini; Daniel Pacheco Gutierrez; Eric Walther; Francesco Santoro; Julien Coulomb; Laurent Maggi; Lionel Saudan; Loic Roch,Bayesian optimization; Hydroformylation; Ligand optimization; Process optimization; Resource efficiency,Atinary FalconGPBO; Gaussian-process Bayesian optimization,Autonomous HTE optimization workflow,Rh-catalyzed hydroformylation of vinyl arenes,7D search space of ~2.9 billion combinations explored in 88 experiments,Maintained conversion/selectivity while reducing reaction time and Rh loading by 10-30x,"Strong industrial example of BO optimizing catalyst loading, ligand, solvent, temperature and pressure simultaneously.",,2026-09-04
CaTS: Transition-State Screening for Catalyst Discovery,2025,ACS Catalysis,research,catalysis-enabling methodology,MLIP / TS acceleration,Other,10.1021/acscatal.5c03945,https://doi.org/10.1021/acscatal.5c03945,Huasheng Feng; Jiangjie Qiu; Jun Yin; Wentao Li; Xiangya Xu,Catalyst discovery; Deep learning; High-throughput computation; MLIPs; Transition-state screening,Automated structure generation; Machine-learning force field; NEB; SHAP,Reactive MLIP mechanism workflow,Metal-organic complex catalyst screening,"10,000 small-molecule TS reactions; 327 catalyst examples; >1,000 screened complexes",DFT validation of top candidates,Moves catalyst screening from static properties toward kinetically relevant TS energies.,,2026-09-03
Conformer-weighted Bisphosphine Descriptor Library,2025,Chemical Science,research,core catalysis,Physical / interpretable,Sigman,10.1039/D5SC04691B,https://doi.org/10.1039/D5SC04691B,Jamie A. Cadge; Matthew S. Sigman; Sierra D. Hart,Boltzmann / ensemble representation; Conformer ensembles; Ligand descriptors; Small data,Conformer selection; Statistical modeling; Weighted physical descriptors,,Bisphosphine-ligated Pd complexes,Descriptor-library + prior catalytic modeling datasets,Improved predictive statistics in prior case studies,Treats conformer choice as a core part of the molecular representation.,4,2026-09-03
Data Science Development of Heteroleptic Pd Fluorination Catalyst,2025,JACS,research,core catalysis,Autonomous / HTE,Sigman,10.1021/jacs.5c11929,https://doi.org/10.1021/jacs.5c11929,Aleria Garcia Roca; David Dalmau; Matthew S. Sigman; Mohammad H. Samha; Serhii Vasylevskyi; Shubham Deolka,Bayesian optimization; Catalyst development; HTE; Palladium catalysis; Substrate-scope design,EDBO+; High-throughput experimentation; Multi-objective Bayesian optimization; Random forest,Autonomous HTE optimization workflow,Heteroleptic Pd-catalyzed fluorination of arylboronic acids,HTE matrix plus data-science-guided scope selection,Experimentally optimized catalyst and mechanistic follow-up,End-to-end BO + HTE + scope-design catalyst-development workflow.,,2026-09-03
Data Science-Guided Ni Homo-Diels-Alder,2025,JACS,research,core catalysis,Ligand-space / screening,Sigman,10.1021/jacs.5c09948,https://doi.org/10.1021/jacs.5c09948,Cedric Lozano; Jamie A. Cadge; Matthew S. Sigman; Sarah E. Reisman,Classification; KRAKEN; Ligand screening; Reaction development,Classification models; Descriptor library; Experimental validation,Reusable ligand-space workflow,Ni-catalyzed homo-Diels-Alder,Small experimental ligand screen embedded in KRAKEN space,Discovery of a chiral ligand / reaction development,Concrete example of a reusable descriptor library driving experimental catalyst discovery.,3,2026-09-03
Data-Driven Discovery of N-Oxyl HAT Catalysts,2025,ACS Central Science,research,core catalysis,Physical / interpretable,Sigman,10.1021/acscentsci.4c01919,https://doi.org/10.1021/acscentsci.4c01919,Cheng Yang; Corey R. J. Stephenson; Matthew S. Sigman; Stephen Maldonado; Therese Wild; Yulia Rakova,Catalyst discovery; Descriptor screening; Experimental validation; HAT catalysis,Data-driven screening; Physical descriptors; Statistical modeling,Reusable ligand-space workflow,N-oxyl hydrogen-atom-transfer catalysts,Catalyst library with physical descriptors and reactivity,Discovery and experimental testing of new catalysts,Direct descriptor-driven catalyst discovery rather than only post hoc rationalization.,,2026-09-03
Data-Driven Mechanistic Analysis of Co(III) Hydrogen Isotope Exchange,2025,Nature Catalysis,research,core catalysis,Mechanistic ML,Milo,10.1038/s41929-025-01447-x,https://doi.org/10.1038/s41929-025-01447-x,Anat Milo; Inbal L. Eshel; Jiayu Zhang; Marco Di Matteo; Monica H. Perez-Temprano; Sergio Barranco,Cobalt catalysis; Hydrogen isotope exchange; Mechanistic discovery; Reaction conditions; Statistical modeling,Catalytic-intermediate descriptors; Experimental mechanistic analysis; Multivariable linear regression,Mechanism-aware transfer workflow,Co(III)-catalyzed site-selective C-H deuteration,Broad substrate/deuterium-source experimental matrix,Mechanistic interpretation across sources and substrates,Shows reaction conditions can switch the operative catalytic mechanism.,,2026-09-03
Data-Efficient Molecular Image Representation Learning (MoleCLIP),2025,Chemical Science,research,catalysis-enabling methodology,3D / deep learning,Milo,10.1039/D5SC00907C,https://doi.org/10.1039/D5SC00907C,Amit H. Bermano; Anat Milo; Hadas Shalit Peleg; Yonatan Harnik,Catalysis datasets; Deep learning; Foundation models; Molecular representation learning; Small data,Contrastive representation learning; Fine-tuning; Image foundation model,Direct GNN reaction workflow; Few-shot / meta-learning workflow,Property/reactivity prediction including homogeneous catalysis datasets,Large unlabeled image pretraining then small labeled tasks,Benchmarks vs image- and graph-based representations,Milo-group alternative to handcrafted descriptors for data-efficient catalysis tasks.,,2026-09-03
FlowER: Electron Flow Matching,2025,Nature,research,core catalysis,3D / deep learning,Other,10.1038/s41586-025-09426-9,https://doi.org/10.1038/s41586-025-09426-9,Connor W. Coley; Joonyoung F. Joung,Chemical constraints; Generative models; Mechanism prediction; Reaction foundation models,Bond-electron representation; Fine-tuning; Flow matching,,General organic reaction mechanisms,Large reaction corpora with mechanistic representation,OOD reaction classes; mechanism recovery,Moves reaction ML from text-like prediction toward constrained electron redistribution.,18,2026-09-03
HCat-GNet,2025,iScience,research,core catalysis,3D / deep learning,Other,10.1016/j.isci.2025.111881,https://doi.org/10.1016/j.isci.2025.111881,Eduardo Aguilar-Bejarano; Grazziela P. Figueredo; Simon Woodward,Enantioselectivity; Graph neural networks; Interpretability; Ligand optimization,Atom-level attribution; GNN; SMILES / graph representation,Direct GNN reaction workflow,Asymmetric homogeneous catalysis,Benchmark asymmetric reaction datasets,"Prospective new ligand class in Rh 1,4-addition",Directly contrasts learned molecular representations with handcrafted catalyst descriptors.,,2026-09-03
Local Reaction Space in Asymmetric Catalysis,2025,ACS Catalysis,research,core catalysis,Other / mixed,Reid,10.1021/acscatal.5c01051,https://doi.org/10.1021/acscatal.5c01051,Jolene P. Reid,Asymmetric catalysis; Dataset design; Enantioselectivity; Local reaction space; Small data,Radius-based random forest; Random forest; Targeted training-set design,Target-specific active-learning workflow,Asymmetric catalysis in sparse reaction spaces,Small catalytic datasets with controlled local vs distant training examples,Interpolation and extrapolation tests around target reactions,Shows that target-neighborhood coverage can matter more than maximizing global training-set diversity.,,2026-09-03
ML Workflows Beyond Linear Models in Low-Data Regimes,2025,Chemical Science,research,catalysis-enabling methodology,Other / mixed,Sigman,10.1039/D5SC00996K,https://doi.org/10.1039/D5SC00996K,David Dalmau; Juan V. Alegre-Requena; Matthew S. Sigman,Automated model selection; Catalysis workflows; Nonlinear models; Small data,Bayesian hyperparameter optimization; Gradient boosting; ROBERT; Random forest,,Low-data chemical modeling with catalysis relevance,Eight datasets with 18-44 observations,"Interpolation, extrapolation, and de novo prediction benchmarks",Shows properly tuned nonlinear models can be competitive even in very small chemical datasets.,,2026-09-03
